MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Age,country_Europe,country_North America,country_Pacific
1,1,0.5,0.4,0.0,1,0.0,0.25,0.21126760563380276,0,0,1
0,1,0.3125,0.6000000000000001,0.6000000000000001,0,0.25,0.0,0.22535211267605637,0,0,1
1,1,0.3125,0.6000000000000001,0.6000000000000001,1,0.25,0.5,0.22535211267605637,0,0,1
0,0,0.375,0.0,0.0,0,0.25,0.75,0.18309859154929575,0,0,1
0,0,0.4375,1.0,1.0,1,1.0,0.25,0.18309859154929575,0,0,1
0,1,0.375,0.0,0.0,1,0.25,0.75,0.22535211267605637,0,0,1
0,0,0.375,0.0,0.0,1,0.25,0.75,0.21126760563380276,0,0,1
1,1,0.3125,0.6000000000000001,0.6000000000000001,1,0.5,0.0,0.23943661971830987,0,0,1
0,0,0.3125,0.8,0.8,1,0.75,1.0,0.23943661971830987,0,0,1
0,1,0.375,0.0,0.0,0,0.25,0.75,0.23943661971830987,0,0,1
0,0,0.375,0.0,0.0,0,0.25,0.75,0.23943661971830987,0,0,1
1,1,0.3125,0.8,0.8,1,1.0,1.0,0.23943661971830987,0,0,1
1,0,0.5625,0.4,0.0,1,0.5,0.25,0.18309859154929575,0,1,0
1,1,0.5625,0.4,0.0,1,0.75,0.0,0.18309859154929575,0,1,0
0,0,0.5625,0.6000000000000001,0.0,0,0.75,0.25,0.18309859154929575,0,1,0
0,0,0.125,0.0,0.0,0,0.25,0.75,0.028169014084507005,0,1,0
1,1,0.125,0.0,0.0,1,0.25,0.75,0.028169014084507005,0,1,0
0,0,0.0625,0.8,0.0,1,0.5,0.75,0.5211267605633803,0,0,1
0,1,0.125,0.4,0.0,1,0.5,0.75,0.5070422535211268,0,0,1
0,1,0.1875,0.0,0.0,0,0.5,0.75,0.04225352112676051,0,1,0
0,1,0.1875,0.0,0.0,0,0.5,0.25,0.028169014084507005,0,1,0
0,0,0.1875,0.0,0.0,0,0.25,0.25,0.04225352112676051,0,1,0
1,1,0.1875,0.0,0.0,1,0.25,0.75,0.028169014084507005,0,1,0
1,1,0.1875,0.0,0.0,1,0.25,0.25,0.028169014084507005,0,1,0
1,1,0.3125,0.0,0.0,1,0.5,0.75,0.028169014084507005,0,1,0
1,1,0.0,0.4,0.2,1,0.5,0.25,0.49295774647887325,0,0,1
0,1,0.125,0.4,0.0,0,0.5,0.25,0.49295774647887325,0,0,1
1,1,0.125,0.4,0.0,1,0.5,0.75,0.47887323943661975,0,0,1
1,0,0.125,0.4,0.0,1,0.5,0.25,0.49295774647887325,0,0,1
1,1,0.125,0.4,0.0,1,0.5,0.25,0.47887323943661975,0,0,1
1,0,0.0,0.4,0.2,1,0.5,0.25,0.47887323943661975,0,0,1
1,0,0.0625,0.8,0.0,1,0.5,0.25,0.47887323943661975,0,0,1
1,0,0.0625,0.8,0.0,1,0.5,0.25,0.47887323943661975,0,0,1
1,1,0.0625,0.8,0.0,1,0.5,0.75,0.46478873239436624,0,0,1
1,0,0.0625,0.8,0.0,1,0.5,0.75,0.47887323943661975,0,0,1
1,0,0.0,0.4,0.2,1,0.5,0.25,0.46478873239436624,0,0,1
1,0,0.3125,0.0,0.0,1,0.5,0.25,0.028169014084507005,0,1,0
0,0,0.1875,0.0,0.0,0,0.5,0.75,0.04225352112676051,0,1,0
1,0,0.0,0.4,0.2,1,0.5,0.75,0.46478873239436624,0,0,1
1,1,0.125,0.6000000000000001,0.0,1,0.5,0.75,0.45070422535211263,0,0,1
1,1,0.125,0.0,0.0,1,0.5,0.25,0.05633802816901412,0,1,0
1,0,0.3125,0.0,0.0,1,0.5,0.25,0.04225352112676051,0,1,0
1,0,0.375,0.0,0.0,1,0.5,0.0,0.05633802816901412,0,1,0
1,1,0.3125,0.0,0.0,1,0.5,0.75,0.07042253521126762,0,1,0
1,1,0.0625,0.4,0.2,1,0.5,0.25,0.45070422535211263,0,0,1
0,1,0.125,0.6000000000000001,0.0,0,0.5,0.25,0.43661971830985913,0,0,1
